                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.76451,                0.35829,                0.77803,                0.92914,                0.74976,                0.78881,                0.53901,                0.86103,                0.43797,                0.78595,              0.0004085,              0.0004085,              0.0004085
                     70,                0.75894,                0.35031,                0.77625,                0.89762,                0.72517,                0.78262,                0.52125,                0.87141,                0.43827,                0.78585,             0.00039613,             0.00039613,             0.00039613
                     71,                0.74646,                0.34738,                0.77676,                0.89983,                0.75477,                0.79901,                0.54518,                0.85728,                0.42804,                0.78635,             0.00038375,             0.00038375,             0.00038375
                     72,                0.74969,                0.35086,                0.77408,                 0.9112,                0.69249,                0.76476,                0.51421,                 0.8519,                0.45189,                0.78522,             0.00037138,             0.00037138,             0.00037138
                     73,                0.72021,                0.33805,                  0.775,                 0.8881,                0.70743,                 0.7791,                0.52825,                 0.8618,                0.44101,                0.78476,               0.000359,               0.000359,               0.000359
                     74,                0.73425,                0.34447,                0.77609,                0.85801,                0.70681,                0.76724,                0.52517,                0.86224,                0.44796,                0.78482,             0.00034663,             0.00034663,             0.00034663
                     75,                0.73734,                0.34516,                0.77451,                0.87445,                0.71607,                0.77264,                0.52666,                0.85725,                0.44158,                0.78539,             0.00033425,             0.00033425,             0.00033425
                     76,                0.73297,                0.34637,                0.77445,                0.87706,                0.72218,                0.78623,                0.52891,                 0.8807,                0.43956,                0.78633,             0.00032188,             0.00032188,             0.00032188
                     77,                0.73295,                0.34468,                0.77479,                0.93148,                 0.6928,                0.77813,                0.52163,                0.87343,                0.44989,                0.78511,              0.0003095,              0.0003095,              0.0003095
                     78,                0.74669,                0.34795,                0.77308,                0.88983,                0.71313,                0.77797,                0.52952,                0.88366,                0.45623,                 0.7856,             0.00029713,             0.00029713,             0.00029713
                     79,                0.73543,                0.34494,                 0.7739,                0.87923,                0.71282,                0.77945,                 0.5234,                0.86805,                0.44624,                0.78546,             0.00028475,             0.00028475,             0.00028475
                     80,                0.72314,                0.34126,                 0.7731,                0.85129,                0.71703,                0.77963,                0.53375,                0.86534,                0.43336,                0.78563,             0.00027237,             0.00027237,             0.00027237
                     81,                0.70911,                0.33435,                0.77248,                0.88981,                0.72437,                 0.7836,                0.53506,                 0.8624,                0.42423,                0.78566,                0.00026,                0.00026,                0.00026
                     82,                0.71322,                0.33785,                0.77414,                0.87105,                0.72285,                0.75942,                0.52189,                0.86434,                 0.4443,                0.78499,             0.00024762,             0.00024762,             0.00024762
                     83,                0.72354,                0.33794,                0.77282,                0.88998,                0.71793,                 0.7769,                0.52224,                0.88601,                0.44552,                0.78504,             0.00023525,             0.00023525,             0.00023525
                     84,                 0.7134,                0.33424,                0.77579,                0.87907,                0.70291,                0.78042,                0.53038,                0.86819,                0.44731,                 0.7854,             0.00022288,             0.00022288,             0.00022288
                     85,                0.69173,                0.32677,                 0.7744,                0.91991,                0.68712,                0.77308,                0.53548,                0.86065,                0.44689,                0.78472,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.6987,                0.33152,                0.77391,                0.89333,                0.70437,                0.77959,                0.53467,                0.87026,                0.44499,                0.78506,             0.00019813,             0.00019813,             0.00019813
                     87,                0.70827,                0.33263,                0.77265,                0.88809,                0.70402,                0.76146,                0.53196,                  0.869,                  0.443,                0.78446,             0.00018575,             0.00018575,             0.00018575
                     88,                0.72013,                 0.3347,                0.77184,                0.88405,                 0.6987,                 0.7642,                0.53096,                0.86552,                0.44383,                0.78529,             0.00017338,             0.00017338,             0.00017338
                     89,                0.68773,                0.32758,                0.77183,                0.87544,                0.70858,                0.77276,                0.52966,                0.86341,                0.44037,                0.78454,               0.000161,               0.000161,               0.000161
                     90,                0.69903,                0.32829,                0.77106,                 0.8697,                0.71018,                0.77567,                0.52998,                0.85883,                0.44233,                0.78488,             0.00014862,             0.00014862,             0.00014862
                     91,                0.67999,                0.32381,                0.77206,                0.87621,                0.70593,                0.76443,                0.52983,                0.86474,                0.44298,                0.78568,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.6912,                0.32634,                0.77273,                0.88293,                0.71006,                0.76558,                0.52892,                0.86453,                0.43875,                0.78573,             0.00012387,             0.00012387,             0.00012387
                     93,                0.67716,                0.32406,                0.77173,                0.89773,                0.70877,                0.76283,                 0.5263,                0.86871,                0.44957,                0.78546,              0.0001115,              0.0001115,              0.0001115
                     94,                0.69445,                0.32527,                0.77314,                0.88502,                0.69418,                0.77198,                0.53798,                0.86902,                0.44269,                0.78524,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.68503,                0.32348,                0.77055,                0.88646,                0.70259,                  0.769,                0.53915,                0.86219,                0.44022,                0.78502,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.67994,                0.31935,                0.77166,                 0.8871,                0.70065,                0.77278,                0.53272,                0.86999,                0.44508,                0.78548,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.67518,                0.31927,                0.77077,                0.89077,                0.70947,                0.76831,                0.53014,                0.86276,                0.43623,                0.78507,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.65027,                0.31229,                0.77328,                 0.8608,                0.69842,                0.76051,                0.52889,                0.86204,                0.43413,                0.78452,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.66228,                0.31343,                0.77098,                0.88115,                0.70012,                 0.7552,                0.53145,                 0.8575,                0.44169,                0.78464,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.65464,                0.31148,                0.77192,                0.88056,                0.69985,                0.76164,                0.53411,                0.85816,                 0.4425,                0.78466,             2.4875e-05,             2.4875e-05,             2.4875e-05
